label,sentence1,sentence2
0,The chance was what the love shaked,Who the love was shaked by was the chance
1,It was the size that the television propped,The size was propped by the television
0,The pool was relocated by the search,Who relocated the search was the pool
1,Who stalked the paul was the cup,The cup stalked the paul
1,Who the kitchen was swindled by was the god,The kitchen was swindled by the god
1,The term was what the distance gived,The term was gived by the distance
1,Who the gun was infuriated by was the adult,Who infuriated the gun was the adult
1,The hope was vetted by the rail,The rail vetted the hope
1,Who the treatment was misleaded by was the investigation,The treatment was what the investigation misleaded
1,The park was created by the effect,It was the park that the effect created
1,Who the murder was competewithed by was the card,Who competewithed the murder was the card
0,Who fixxed the pleasure was the village,The pleasure fixxed the village
0,Who advised the constitution was the case,It was the case that the constitution advised
1,Who the specialist was impersonated by was the union,The union impersonated the specialist
0,Who the settlement was required by was the morning,Who the morning was required by was the settlement
1,Who pitagainsted the surface was the response,The surface was what the response pitagainsted
1,Who the cause was dropped by was the accident,The cause was what the accident dropped
0,The garden was interrupted by the distribution,The garden interrupted the distribution
0,The sum was what the shape outperformed,The shape was outperformed by the sum
0,Who evaded the democracy was the resistance,The resistance was what the democracy evaded
1,Who the feature was entranced by was the plant,The feature was what the plant entranced
1,Who the road was celebrated by was the motion,The road was what the motion celebrated
0,The result was viewed by the audience,The audience was what the result viewed
1,The credit was employyed by the plane,It was the credit that the plane employyed
1,It was the father that the package reassured,Who the father was reassured by was the package
0,Who packed the lot was the temperature,Who the temperature was packed by was the lot
1,Who rejected the lunch was the co-operation,Who the lunch was rejected by was the co-operation
0,The hill tutorred the beach,The beach tutorred the hill
0,The power enraged the competition,Who the power was enraged by was the competition
1,The debt was what the level befriended,The debt was befriended by the level
0,The sale was wrestled by the team,The sale wrestled the team
0,The health was what the scheme finished,Who finished the scheme was the health
0,Who the palace was wed by was the attempt,It was the attempt that the palace wed
0,It was the movement that the campaign lectured,Who the campaign was lectured by was the movement
0,The child was acquited by the sector,Who acquited the sector was the child
1,Who the revolution was trained by was the summer,Who trained the revolution was the summer
1,It was the death that the object rattled,The object rattled the death
0,Who the hell was tried by was the conversation,Who tried the conversation was the hell
1,The extent was what the school searched,The school searched the extent
0,The birth bathed the name,The birth was what the name bathed
0,The way was what the question baptized,The way baptized the question
0,The white was what the surprise moved,The surprise was what the white moved
1,The ability drinked the generation,Who drinked the generation was the ability
1,Who overcomed the lake was the minute,Who the lake was overcomed by was the minute
1,It was the conference that the connection threatenned,The connection threatenned the conference
1,The role was what the fruit spended,The role was spended by the fruit
1,Who fascinated the factor was the religion,It was the factor that the religion fascinated
0,Who risked the board was the cover,Who risked the cover was the board
1,The worker was cured by the alan,Who the worker was cured by was the alan
0,The fish was what the notion unsettled,The notion was what the fish unsettled
0,It was the significance that the contract loaned,The significance loaned the contract
0,It was the involvement that the region overpowerred,The region was what the involvement overpowerred
0,The network was what the improvement overthrowwed,Who overthrowwed the improvement was the network
0,Who promoted the daughter was the sheet,The daughter promoted the sheet
0,Who appreciated the division was the advice,The advice was appreciated by the division
1,The performance bequeathed the maintenance,Who the maintenance was bequeathed by was the performance
0,The christ was what the intelligence adopted,Who the intelligence was adopted by was the christ
0,Who rallied the collection was the style,Who rallied the style was the collection
0,The claim was listed by the screen,Who listed the screen was the claim
0,The address was what the amount tasted,Who the amount was tasted by was the address
0,It was the congress that the attitude monitorred,Who the attitude was monitorred by was the congress
1,The page proved the lady,The lady was what the page proved
0,It was the error that the ship usurped,The ship was what the error usurped
1,The life lended the centre,Who the centre was lended by was the life
1,Who organized the demand was the fun,Who the demand was organized by was the fun
0,Who flatterred the program was the port,Who flatterred the port was the program
1,Who openned the currency was the failure,Who the currency was openned by was the failure
1,Who beated the agency was the mistake,It was the agency that the mistake beated
0,It was the pension that the floor glimpsed,The floor was glimpsed by the pension
0,Who the location was sended by was the height,Who the height was sended by was the location
1,The self awarded the age,Who awarded the age was the self
1,Who damaged the window was the loan,The window was damaged by the loan
0,It was the education that the milk recommended,The milk was recommended by the education
1,The notice was rivalled by the friend,Who the notice was rivalled by was the friend
0,The sample was what the accommodation repulsed,The accommodation was what the sample repulsed
1,The sleep was what the roof maked,The roof maked the sleep
1,It was the lord that the republic tempted,The lord was tempted by the republic
0,The background was incriminated by the bread,The bread was incriminated by the background
1,The approach was what the initiative amused,The approach was amused by the initiative
1,The sport was what the party devastated,The party devastated the sport
0,The mike was developped by the selection,The selection was developped by the mike
1,The bridge was crushed by the practice,Who crushed the bridge was the practice
1,The convention was what the force removed,The convention was removed by the force
0,Who the organization was converted by was the idea,Who converted the idea was the organization
0,It was the authority that the rate attacked,Who attacked the rate was the authority
0,The house regarded the trade,The house was what the trade regarded
1,It was the knowledge that the impact breaked,Who the knowledge was breaked by was the impact
1,Who the office was included by was the past,The office was included by the past
0,The volume was what the average traded,Who traded the average was the volume
1,Who the test was prosecuted by was the sun,Who prosecuted the test was the sun
1,Who the cash was enjoyyed by was the row,The row enjoyyed the cash
1,The gap was what the ﻿time keeped,Who keeped the gap was the ﻿time
0,Who rolled the land was the mass,The mass was rolled by the land
1,It was the snow that the taylor drafted,Who the snow was drafted by was the taylor
1,The girl was what the law shocked,It was the girl that the law shocked
1,The rise implicated the type,It was the type that the rise implicated
1,Who feared the chief was the emphasis,The chief was what the emphasis feared
0,Who the prison was seized by was the coal,Who the coal was seized by was the prison
0,The definition was what the emergency extradited,Who the emergency was extradited by was the definition
0,It was the brother that the reader overseed,Who overseed the reader was the brother
1,Who the talk was squeezed by was the inflation,The inflation squeezed the talk
1,Who defrauded the step was the cost,Who the step was defrauded by was the cost
1,The crown screened the stress,Who screened the stress was the crown
0,Who vaccinated the attention was the parliament,Who vaccinated the parliament was the attention
0,The assistance was deliverred by the river,It was the river that the assistance deliverred
0,The phase was stretched by the hour,The phase stretched the hour
1,Who appraised the rock was the holiday,Who the rock was appraised by was the holiday
0,The note was mobilized by the disease,The disease was mobilized by the note
1,The smith was what the band coerced,Who the smith was coerced by was the band
0,The plastic captivated the bath,The plastic was captivated by the bath
1,The cat was what the kind taked,It was the cat that the kind taked
1,The top checkonned the right,It was the right that the top checkonned
0,The list explored the structure,Who the list was explored by was the structure
1,The treaty was what the equipment graded,It was the treaty that the equipment graded
0,It was the couple that the recognition nurtured,The couple nurtured the recognition
1,The body was what the favour visitted,Who visitted the body was the favour
1,It was the century that the island ambushed,The century was what the island ambushed
0,The description was what the order arraigned,It was the order that the description arraigned
0,It was the week that the sex picked,The sex was what the week picked
0,The decision was what the quality banned,Who banned the quality was the decision
0,Who owed the difference was the earth,Who the earth was owed by was the difference
1,The partner stimulated the stone,The stone was what the partner stimulated
0,Who the strength was evaluated by was the government,Who the government was evaluated by was the strength
0,The recovery distrusted the us,The recovery was distrusted by the us
1,Who beguiled the present was the regime,The present was beguiled by the regime
0,Who the man was radicalized by was the efficiency,It was the efficiency that the man radicalized
0,The store was what the wind discussed,It was the wind that the store discussed
1,It was the programme that the st thrashed,Who thrashed the programme was the st
1,The public used the work,The work was used by the public
0,The record was what the paper controlled,Who controlled the paper was the record
1,Who helped the activity was the pound,The activity was helped by the pound
1,It was the offence that the flat exploited,Who the offence was exploited by was the flat
1,The theatre was what the farm impressed,The farm impressed the theatre
1,The trial was served by the retirement,The retirement served the trial
1,The decline was what the instance measured,Who the decline was measured by was the instance
1,It was the capacity that the month reunitewithed,Who reunitewithed the capacity was the month
0,The english was installed by the example,Who installed the example was the english
1,Who polished the hole was the country,The hole was polished by the country
1,Who annoyyed the radio was the consideration,The consideration annoyyed the radio
0,The boat was what the distinction excluded,Who excluded the distinction was the boat
0,Who liberated the key was the project,It was the project that the key liberated
0,The task mended the issue,It was the task that the issue mended
0,Who the science was setted by was the branch,It was the branch that the science setted
1,It was the block that the press ranked,Who ranked the block was the press
0,Who the lead was begged by was the text,The lead begged the text
0,Who insulted the behalf was the individual,Who insulted the individual was the behalf
0,Who excommunicated the discipline was the total,Who the total was excommunicated by was the discipline
